stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,6:55:00,6:55:00,404135,5.0,1
2,6:56:07,6:56:07,401305,9.0,1
3,6:56:44,6:56:44,401306,9.0,1
4,6:57:46,6:57:46,401307,3.0,1
5,6:58:36,6:58:36,401308,7.0,1
6,7:00:14,7:00:14,404824,5.0,1
7,7:01:20,7:01:20,401310,6.0,1
8,7:02:49,7:02:49,401311,10.0,1
9,7:03:48,7:03:48,401312,7.0,1
10,7:04:47,7:04:47,401313,15.0,1
11,7:06:21,7:06:21,401314,15.0,1
12,7:07:23,7:07:23,401315,15.0,1
13,7:09:02,7:09:02,401317,9.0,1
14,7:09:47,7:09:47,403276,8.0,1
15,7:11:00,7:11:00,401318,8.0,1
16,7:12:51,7:12:51,405289,11.0,1
17,7:13:45,7:13:45,404245,11.0,1
18,7:15:00,7:15:00,404915,11.0,1
19,7:15:47,7:15:47,405247,10.0,1
20,7:17:04,7:17:04,401324,7.0,1
21,7:19:21,7:19:21,401326,10.0,1
22,7:20:20,7:20:20,401327,10.0,1
23,7:21:31,7:21:31,401328,10.0,1
24,7:22:32,7:22:32,401329,10.0,1
25,7:23:38,7:23:38,401330,10.0,1
26,7:25:01,7:25:01,401331,10.0,1
27,7:26:48,7:26:48,401333,9.0,1
28,7:27:49,7:27:49,401334,11.0,1
29,7:28:52,7:28:52,401335,11.0,1
30,7:29:45,7:29:45,401336,11.0,1
31,7:31:00,7:31:00,401337,4.0,1
32,7:32:00,7:32:00,401338,4.0,1
33,7:33:24,7:33:24,401339,11.0,1
34,7:34:27,7:34:27,404136,11.0,1
35,7:35:25,7:35:25,401341,11.0,1
36,7:36:55,7:36:55,401342,11.0,1
37,7:37:59,7:37:59,401343,11.0,1
38,7:39:00,7:39:00,401344,11.0,1
39,7:39:59,7:39:59,401345,11.0,1
40,7:40:57,7:40:57,404987,11.0,1
41,7:41:55,7:41:55,404988,10.0,1
42,7:44:00,7:44:00,401348,7.0,1
43,7:44:35,7:44:35,400860,3.0,1
44,7:45:20,7:45:20,400861,7.0,1
45,7:46:00,7:46:00,405376,7.0,1
