stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,19:14:00,19:14:00,405067,3.0,1
2,19:15:00,19:15:00,400903,3.0,1
3,19:16:06,19:16:06,405256,3.0,1
4,19:17:00,19:17:00,400070,3.0,1
5,19:17:58,19:17:58,400071,3.0,1
6,19:19:00,19:19:00,404108,3.0,1
7,19:20:25,19:20:25,405279,3.0,1
8,19:20:57,19:20:57,400910,3.0,1
9,19:22:09,19:22:09,405024,2.0,1
10,19:23:51,19:23:51,400913,3.0,1
11,19:24:48,19:24:48,403847,3.0,1
12,19:26:00,19:26:00,405635,3.0,1
13,19:26:56,19:26:56,400916,3.0,1
14,19:27:57,19:27:57,400917,5.0,1
15,19:28:50,19:28:50,404132,5.0,1
16,19:30:00,19:30:00,400919,8.0,1
17,19:31:41,19:31:41,400722,8.0,1
18,19:33:26,19:33:26,400723,4.0,1
19,19:34:57,19:34:57,400724,6.0,1
20,19:36:00,19:36:00,400725,6.0,1
21,19:37:34,19:37:34,400726,7.0,1
22,19:38:49,19:38:49,404991,6.0,1
23,19:40:10,19:40:10,403914,5.0,1
24,19:41:44,19:41:44,400929,4.0,1
25,19:43:41,19:43:41,400731,2.0,1
26,19:44:44,19:44:44,400732,2.0,1
27,19:46:00,19:46:00,403769,2.0,1
28,19:47:33,19:47:33,400933,2.0,1
29,19:49:30,19:49:30,404039,2.0,1
30,19:50:52,19:50:52,404040,2.0,1
31,19:52:02,19:52:02,400936,2.0,1
32,19:53:00,19:53:00,803081,2.0,1
