trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MV_A5-Weekday-SDon-091600_M116_714,15:16:00,15:16:00,401998,1,2
MV_A5-Weekday-SDon-091600_M116_714,15:16:37,15:16:37,405315,2,2
MV_A5-Weekday-SDon-091600_M116_714,15:17:00,15:17:00,401999,3,2
MV_A5-Weekday-SDon-091600_M116_714,15:18:26,15:18:26,402000,4,3
MV_A5-Weekday-SDon-091600_M116_714,15:20:58,15:20:58,402001,5,3
MV_A5-Weekday-SDon-091600_M116_714,15:22:21,15:22:21,402002,6,3
MV_A5-Weekday-SDon-091600_M116_714,15:23:49,15:23:49,402003,7,3
MV_A5-Weekday-SDon-091600_M116_714,15:24:59,15:24:59,402004,8,3
MV_A5-Weekday-SDon-091600_M116_714,15:27:00,15:27:00,402005,9,3
MV_A5-Weekday-SDon-091600_M116_714,15:27:52,15:27:52,402006,10,3
MV_A5-Weekday-SDon-091600_M116_714,15:31:00,15:31:00,404274,11,2
MV_A5-Weekday-SDon-091600_M116_714,15:33:24,15:33:24,401078,12,1
MV_A5-Weekday-SDon-091600_M116_714,15:35:00,15:35:00,401079,13,1
MV_A5-Weekday-SDon-091600_M116_714,15:36:26,15:36:26,400482,14,1
MV_A5-Weekday-SDon-091600_M116_714,15:37:18,15:37:18,400483,15,1
MV_A5-Weekday-SDon-091600_M116_714,15:38:49,15:38:49,400484,16,1
MV_A5-Weekday-SDon-091600_M116_714,15:40:04,15:40:04,403392,17,1
MV_A5-Weekday-SDon-091600_M116_714,15:41:07,15:41:07,401084,18,1
MV_A5-Weekday-SDon-091600_M116_714,15:42:01,15:42:01,401085,19,1
MV_A5-Weekday-SDon-091600_M116_714,15:43:00,15:43:00,402016,20,1
MV_A5-Weekday-SDon-091600_M116_714,15:43:41,15:43:41,402017,21,1
MV_A5-Weekday-SDon-091600_M116_714,15:44:00,15:44:00,401977,22,1
