trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
OF_A5-Weekday-SDon-131000_M7_241,21:50:00,21:50:00,405579,1,1
OF_A5-Weekday-SDon-131000_M7_241,21:50:45,21:50:45,404991,2,1
OF_A5-Weekday-SDon-131000_M7_241,21:51:52,21:51:52,403914,3,1
OF_A5-Weekday-SDon-131000_M7_241,21:53:10,21:53:10,400929,4,1
OF_A5-Weekday-SDon-131000_M7_241,21:54:47,21:54:47,400731,5,1
OF_A5-Weekday-SDon-131000_M7_241,21:55:39,21:55:39,400732,6,1
OF_A5-Weekday-SDon-131000_M7_241,21:56:43,21:56:43,405582,7,1
OF_A5-Weekday-SDon-131000_M7_241,21:58:00,21:58:00,400933,8,1
OF_A5-Weekday-SDon-131000_M7_241,21:59:46,21:59:46,404039,9,1
OF_A5-Weekday-SDon-131000_M7_241,22:01:00,22:01:00,404040,10,1
OF_A5-Weekday-SDon-131000_M7_241,22:02:04,22:02:04,400936,11,1
OF_A5-Weekday-SDon-131000_M7_241,22:03:33,22:03:33,404043,12,2
OF_A5-Weekday-SDon-131000_M7_241,22:04:32,22:04:32,400938,13,2
OF_A5-Weekday-SDon-131000_M7_241,22:05:41,22:05:41,403132,14,2
OF_A5-Weekday-SDon-131000_M7_241,22:06:26,22:06:26,400940,15,2
OF_A5-Weekday-SDon-131000_M7_241,22:07:53,22:07:53,400941,16,2
OF_A5-Weekday-SDon-131000_M7_241,22:09:15,22:09:15,404992,17,2
OF_A5-Weekday-SDon-131000_M7_241,22:10:44,22:10:44,400943,18,2
OF_A5-Weekday-SDon-131000_M7_241,22:12:14,22:12:14,401014,19,2
OF_A5-Weekday-SDon-131000_M7_241,22:13:11,22:13:11,401015,20,2
OF_A5-Weekday-SDon-131000_M7_241,22:14:32,22:14:32,401016,21,2
OF_A5-Weekday-SDon-131000_M7_241,22:16:07,22:16:07,400747,22,2
OF_A5-Weekday-SDon-131000_M7_241,22:17:45,22:17:45,403271,23,2
OF_A5-Weekday-SDon-131000_M7_241,22:19:23,22:19:23,400750,24,2
OF_A5-Weekday-SDon-131000_M7_241,22:21:00,22:21:00,401021,25,2
OF_A5-Weekday-SDon-131000_M7_241,22:21:48,22:21:48,401022,26,2
OF_A5-Weekday-SDon-131000_M7_241,22:22:55,22:22:55,401023,27,2
OF_A5-Weekday-SDon-131000_M7_241,22:23:40,22:23:40,401024,28,2
OF_A5-Weekday-SDon-131000_M7_241,22:24:32,22:24:32,401025,29,2
OF_A5-Weekday-SDon-131000_M7_241,22:25:19,22:25:19,401026,30,1
OF_A5-Weekday-SDon-131000_M7_241,22:26:32,22:26:32,401027,31,2
OF_A5-Weekday-SDon-131000_M7_241,22:27:29,22:27:29,404320,32,2
OF_A5-Weekday-SDon-131000_M7_241,22:28:27,22:28:27,401029,33,2
OF_A5-Weekday-SDon-131000_M7_241,22:29:14,22:29:14,401030,34,1
OF_A5-Weekday-SDon-131000_M7_241,22:30:26,22:30:26,401031,35,1
OF_A5-Weekday-SDon-131000_M7_241,22:31:13,22:31:13,401032,36,1
OF_A5-Weekday-SDon-131000_M7_241,22:32:00,22:32:00,401033,37,1
OF_A5-Weekday-SDon-131000_M7_241,22:32:42,22:32:42,401034,38,1
OF_A5-Weekday-SDon-131000_M7_241,22:33:35,22:33:35,401035,39,1
OF_A5-Weekday-SDon-131000_M7_241,22:34:24,22:34:24,401036,40,1
OF_A5-Weekday-SDon-131000_M7_241,22:35:45,22:35:45,401037,41,1
OF_A5-Weekday-SDon-131000_M7_241,22:36:25,22:36:25,401038,42,1
OF_A5-Weekday-SDon-131000_M7_241,22:37:22,22:37:22,401039,43,1
OF_A5-Weekday-SDon-131000_M7_241,22:38:10,22:38:10,405087,44,1
OF_A5-Weekday-SDon-131000_M7_241,22:39:10,22:39:10,405092,45,1
OF_A5-Weekday-SDon-131000_M7_241,22:40:08,22:40:08,400394,46,2
OF_A5-Weekday-SDon-131000_M7_241,22:41:00,22:41:00,401044,47,2
OF_A5-Weekday-SDon-131000_M7_241,22:42:10,22:42:10,401045,48,2
OF_A5-Weekday-SDon-131000_M7_241,22:43:13,22:43:13,404341,49,2
OF_A5-Weekday-SDon-131000_M7_241,22:44:07,22:44:07,401047,50,2
OF_A5-Weekday-SDon-131000_M7_241,22:45:02,22:45:02,404333,51,2
OF_A5-Weekday-SDon-131000_M7_241,22:46:00,22:46:00,404334,52,2
OF_A5-Weekday-SDon-131000_M7_241,22:46:52,22:46:52,401051,53,2
OF_A5-Weekday-SDon-131000_M7_241,22:47:41,22:47:41,401052,54,2
OF_A5-Weekday-SDon-131000_M7_241,22:48:53,22:48:53,405014,55,2
OF_A5-Weekday-SDon-131000_M7_241,22:49:49,22:49:49,401055,56,2
OF_A5-Weekday-SDon-131000_M7_241,22:51:00,22:51:00,401056,57,1
OF_A5-Weekday-SDon-131000_M7_241,22:51:46,22:51:46,400062,58,1
OF_A5-Weekday-SDon-131000_M7_241,22:52:58,22:52:58,404335,59,1
OF_A5-Weekday-SDon-131000_M7_241,22:54:11,22:54:11,400065,60,1
OF_A5-Weekday-SDon-131000_M7_241,22:55:06,22:55:06,400066,61,1
OF_A5-Weekday-SDon-131000_M7_241,22:56:09,22:56:09,400067,62,1
OF_A5-Weekday-SDon-131000_M7_241,22:58:00,22:58:00,803003,63,1
