trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MQ_A5-Weekday-SDon-076800_M8_2,12:48:00,12:48:00,403399,1,2
MQ_A5-Weekday-SDon-076800_M8_2,12:53:36,12:53:36,803147,2,2
MQ_A5-Weekday-SDon-076800_M8_2,12:55:18,12:55:18,803105,3,1
MQ_A5-Weekday-SDon-076800_M8_2,12:59:00,12:59:00,903280,4,1
MQ_A5-Weekday-SDon-076800_M8_2,13:05:00,13:05:00,404857,5,2
MQ_A5-Weekday-SDon-076800_M8_2,13:06:08,13:06:08,405006,6,2
MQ_A5-Weekday-SDon-076800_M8_2,13:08:29,13:08:29,401168,7,2
MQ_A5-Weekday-SDon-076800_M8_2,13:09:31,13:09:31,401169,8,2
MQ_A5-Weekday-SDon-076800_M8_2,13:12:37,13:12:37,405165,9,2
MQ_A5-Weekday-SDon-076800_M8_2,13:14:00,13:14:00,403317,10,2
MQ_A5-Weekday-SDon-076800_M8_2,13:16:00,13:16:00,403732,11,2
MQ_A5-Weekday-SDon-076800_M8_2,13:20:00,13:20:00,402033,12,2
MQ_A5-Weekday-SDon-076800_M8_2,13:20:57,13:20:57,402034,13,2
MQ_A5-Weekday-SDon-076800_M8_2,13:22:34,13:22:34,404100,14,2
MQ_A5-Weekday-SDon-076800_M8_2,13:24:01,13:24:01,402036,15,2
MQ_A5-Weekday-SDon-076800_M8_2,13:25:21,13:25:21,402037,16,1
MQ_A5-Weekday-SDon-076800_M8_2,13:26:45,13:26:45,402038,17,1
MQ_A5-Weekday-SDon-076800_M8_2,13:28:51,13:28:51,402039,18,1
MQ_A5-Weekday-SDon-076800_M8_2,13:29:59,13:29:59,401630,19,1
MQ_A5-Weekday-SDon-076800_M8_2,13:31:00,13:31:00,402041,20,2
MQ_A5-Weekday-SDon-076800_M8_2,13:32:04,13:32:04,402042,21,2
MQ_A5-Weekday-SDon-076800_M8_2,13:32:55,13:32:55,402043,22,2
MQ_A5-Weekday-SDon-076800_M8_2,13:36:02,13:36:02,404099,23,2
MQ_A5-Weekday-SDon-076800_M8_2,13:38:41,13:38:41,405368,24,2
MQ_A5-Weekday-SDon-076800_M8_2,13:40:00,13:40:00,401691,25,2
