trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
OH_A5-Weekday-SDon-051000_M15_217,8:30:00,8:30:00,803019,1,1
OH_A5-Weekday-SDon-051000_M15_217,8:31:24,8:31:24,903296,2,1
OH_A5-Weekday-SDon-051000_M15_217,8:33:15,8:33:15,401665,3,1
OH_A5-Weekday-SDon-051000_M15_217,8:34:12,8:34:12,401666,4,1
OH_A5-Weekday-SDon-051000_M15_217,8:36:25,8:36:25,404850,5,1
OH_A5-Weekday-SDon-051000_M15_217,8:37:42,8:37:42,401669,6,1
OH_A5-Weekday-SDon-051000_M15_217,8:39:00,8:39:00,401670,7,1
OH_A5-Weekday-SDon-051000_M15_217,8:40:51,8:40:51,402088,8,1
OH_A5-Weekday-SDon-051000_M15_217,8:42:47,8:42:47,402090,9,1
OH_A5-Weekday-SDon-051000_M15_217,8:44:00,8:44:00,404843,10,1
OH_A5-Weekday-SDon-051000_M15_217,8:45:08,8:45:08,401675,11,1
OH_A5-Weekday-SDon-051000_M15_217,8:47:34,8:47:34,405320,12,1
OH_A5-Weekday-SDon-051000_M15_217,8:49:36,8:49:36,401679,13,2
OH_A5-Weekday-SDon-051000_M15_217,8:51:35,8:51:35,401681,14,2
OH_A5-Weekday-SDon-051000_M15_217,8:53:00,8:53:00,401682,15,2
OH_A5-Weekday-SDon-051000_M15_217,8:54:47,8:54:47,405098,16,2
OH_A5-Weekday-SDon-051000_M15_217,8:56:59,8:56:59,401685,17,2
OH_A5-Weekday-SDon-051000_M15_217,8:58:41,8:58:41,401686,18,2
OH_A5-Weekday-SDon-051000_M15_217,9:01:00,9:01:00,401687,19,2
OH_A5-Weekday-SDon-051000_M15_217,9:01:50,9:01:50,401688,20,2
OH_A5-Weekday-SDon-051000_M15_217,9:03:26,9:03:26,401689,21,3
OH_A5-Weekday-SDon-051000_M15_217,9:05:00,9:05:00,401690,22,3
OH_A5-Weekday-SDon-051000_M15_217,9:06:17,9:06:17,401691,23,3
OH_A5-Weekday-SDon-051000_M15_217,9:07:31,9:07:31,405396,24,3
OH_A5-Weekday-SDon-051000_M15_217,9:08:26,9:08:26,404995,25,3
OH_A5-Weekday-SDon-051000_M15_217,9:09:47,9:09:47,401694,26,2
OH_A5-Weekday-SDon-051000_M15_217,9:11:57,9:11:57,403480,27,2
OH_A5-Weekday-SDon-051000_M15_217,9:13:05,9:13:05,401696,28,2
OH_A5-Weekday-SDon-051000_M15_217,9:14:54,9:14:54,401697,29,2
OH_A5-Weekday-SDon-051000_M15_217,9:17:00,9:17:00,401698,30,1
OH_A5-Weekday-SDon-051000_M15_217,9:18:01,9:18:01,401699,31,2
OH_A5-Weekday-SDon-051000_M15_217,9:20:10,9:20:10,401701,32,2
OH_A5-Weekday-SDon-051000_M15_217,9:21:29,9:21:29,401702,33,1
OH_A5-Weekday-SDon-051000_M15_217,9:22:51,9:22:51,401703,34,1
OH_A5-Weekday-SDon-051000_M15_217,9:24:00,9:24:00,401704,35,1
OH_A5-Weekday-SDon-051000_M15_217,9:24:52,9:24:52,405138,36,3
OH_A5-Weekday-SDon-051000_M15_217,9:26:38,9:26:38,404253,37,3
OH_A5-Weekday-SDon-051000_M15_217,9:27:54,9:27:54,401706,38,1
OH_A5-Weekday-SDon-051000_M15_217,9:29:40,9:29:40,401707,39,1
OH_A5-Weekday-SDon-051000_M15_217,9:31:26,9:31:26,401708,40,1
OH_A5-Weekday-SDon-051000_M15_217,9:32:43,9:32:43,401709,41,3
OH_A5-Weekday-SDon-051000_M15_217,9:34:30,9:34:30,401710,42,3
OH_A5-Weekday-SDon-051000_M15_217,9:35:42,9:35:42,401711,43,3
OH_A5-Weekday-SDon-051000_M15_217,9:37:00,9:37:00,401712,44,3
OH_A5-Weekday-SDon-051000_M15_217,9:38:24,9:38:24,405100,45,3
OH_A5-Weekday-SDon-051000_M15_217,9:40:15,9:40:15,401715,46,3
OH_A5-Weekday-SDon-051000_M15_217,9:41:36,9:41:36,401716,47,1
OH_A5-Weekday-SDon-051000_M15_217,9:43:25,9:43:25,401718,48,1
OH_A5-Weekday-SDon-051000_M15_217,9:45:00,9:45:00,903275,49,1
OH_A5-Weekday-SDon-051000_M15_217,9:45:49,9:45:49,401721,50,1
OH_A5-Weekday-SDon-051000_M15_217,9:46:48,9:46:48,401722,51,3
OH_A5-Weekday-SDon-051000_M15_217,9:48:04,9:48:04,401723,52,3
OH_A5-Weekday-SDon-051000_M15_217,9:49:00,9:49:00,401724,53,3
OH_A5-Weekday-SDon-051000_M15_217,9:49:42,9:49:42,401725,54,2
OH_A5-Weekday-SDon-051000_M15_217,9:50:20,9:50:20,401726,55,1
OH_A5-Weekday-SDon-051000_M15_217,9:51:20,9:51:20,401727,56,1
OH_A5-Weekday-SDon-051000_M15_217,9:52:39,9:52:39,401729,57,1
OH_A5-Weekday-SDon-051000_M15_217,9:53:22,9:53:22,401730,58,1
OH_A5-Weekday-SDon-051000_M15_217,9:54:00,9:54:00,401731,59,1
OH_A5-Weekday-SDon-051000_M15_217,9:56:00,9:56:00,803054,60,1
