arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
17:38:00,17:38:00,401732,1,1
17:38:47,17:38:47,401738,2,2
17:42:27,17:42:27,405348,3,2
17:46:11,17:46:11,405653,4,2
17:49:00,17:49:00,803182,5,2
17:53:11,17:53:11,903129,6,2
17:56:41,17:56:41,401756,7,2
18:01:27,18:01:27,401761,8,2
18:06:16,18:06:16,401765,9,4
18:09:16,18:09:16,401768,10,4
18:12:48,18:12:48,401771,11,3
18:16:26,18:16:26,405342,12,4
18:18:40,18:18:40,403525,13,4
18:21:02,18:21:02,401779,14,4
18:24:59,18:24:59,405340,15,4
18:30:48,18:30:48,803109,16,3
18:32:00,18:32:00,403849,17,2
18:35:22,18:35:22,405373,18,2
18:39:22,18:39:22,402112,19,2
18:42:59,18:42:59,403590,20,2
18:44:57,18:44:57,403754,21,2
18:48:00,18:48:00,803120,22,2
