trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MV_A5-Weekday-102000_M116_708,17:00:00,17:00:00,400639,1,1
MV_A5-Weekday-102000_M116_708,17:01:50,17:01:50,400640,2,1
MV_A5-Weekday-102000_M116_708,17:03:18,17:03:18,400641,3,1
MV_A5-Weekday-102000_M116_708,17:04:29,17:04:29,400642,4,1
MV_A5-Weekday-102000_M116_708,17:05:22,17:05:22,400643,5,1
MV_A5-Weekday-102000_M116_708,17:06:15,17:06:15,400644,6,1
MV_A5-Weekday-102000_M116_708,17:08:55,17:08:55,400799,7,2
MV_A5-Weekday-102000_M116_708,17:09:52,17:09:52,404124,8,2
MV_A5-Weekday-102000_M116_708,17:11:00,17:11:00,404125,9,2
MV_A5-Weekday-102000_M116_708,17:32:31,17:32:31,403415,10,2
MV_A5-Weekday-102000_M116_708,17:36:27,17:36:27,403416,11,1
MV_A5-Weekday-102000_M116_708,17:39:51,17:39:51,403417,12,1
MV_A5-Weekday-102000_M116_708,17:43:19,17:43:19,403418,13,1
MV_A5-Weekday-102000_M116_708,17:46:42,17:46:42,403419,14,1
MV_A5-Weekday-102000_M116_708,17:49:07,17:49:07,402826,15,1
MV_A5-Weekday-102000_M116_708,17:51:36,17:51:36,403421,16,1
MV_A5-Weekday-102000_M116_708,17:53:00,17:53:00,903105,17,1
